Index,Problem,Percentage,Difficulty,Status
314,889. Construct Binary Tree from Preorder and Postorder Traversal,77.9%,Med.,~visited
315,892. Surface Area of 3D Shapes,67.7%,Easy,~visited
316,894. All Possible Full Binary Trees,82.7%,Med.,~visited
317,897. Increasing Order Search Tree,78.6%,Easy,~visited
318,904. Fruit Into Baskets,45.8%,Med.,~visited
319,906. Super Palindromes,39.2%,Hard,~visited
320,911. Online Election,52.5%,Med.,~visited
321,913. Cat and Mouse,34.0%,Hard,~visited
322,914. X of a Kind in a Deck of Cards,29.8%,Easy,~visited
323,916. Word Subsets,55.6%,Med.,~visited
324,919. Complete Binary Tree Inserter,66.3%,Med.,~visited
325,921. Minimum Add to Make Parentheses Valid,74.7%,Med.,~visited
326,926. Flip String to Monotone Increasing,61.6%,Med.,~visited
327,929. Unique Email Addresses,67.5%,Easy,~visited
328,930. Binary Subarrays With Sum,65.3%,Med.,~visited
329,931. Minimum Falling Path Sum,61.9%,Med.,~visited
330,932. Beautiful Array,66.8%,Med.,~visited
331,935. Knight Dialer,61.0%,Med.,~visited
332,940. Distinct Subsequences II,43.4%,Hard,~visited
333,942. DI String Match,79.8%,Easy,~visited
334,944. Delete Columns to Make Sorted,74.7%,Easy,~visited
335,946. Validate Stack Sequences,69.6%,Med.,~visited
336,947. Most Stones Removed with Same Row or Column,62.1%,Med.,~visited
337,948. Bag of Tokens,59.1%,Med.,~visited
338,951. Flip Equivalent Binary Trees,69.7%,Med.,~visited
339,952. Largest Component Size by Common Factor,41.0%,Hard,~visited
340,954. Array of Doubled Pairs,39.3%,Med.,~visited
341,955. Delete Columns to Make Sorted II,35.5%,Med.,~visited
342,958. Check Completeness of a Binary Tree,58.1%,Med.,~visited
343,960. Delete Columns to Make Sorted III,58.4%,Hard,~visited
344,975. Odd Even Jump,40.6%,Hard,~visited
345,983. Minimum Cost For Tickets,67.4%,Med.,~visited
346,994. Rotting Oranges,56.1%,Med.,~visited
347,997. Find the Town Judge,49.9%,Easy,~visited
348,1005. Maximize Sum Of Array After K Negations,52.1%,Easy,~visited
349,1007. Minimum Domino Rotations For Equal Row,52.3%,Med.,~visited
350,1055. Shortest Way to Form String,61.2%,Med.,~visited
351,1057. Campus Bikes,58.9%,Med.,~visited
352,1009. Complement of Base 10 Integer,60.7%,Easy,~visited
353,1012. Numbers With Repeated Digits,42.9%,Hard,~visited
354,1062. Longest Repeating Substring,62.9%,Med.,~visited
355,1014. Best Sightseeing Pair,62.6%,Med.,~visited
356,1015. Smallest Integer Divisible by K,46.5%,Med.,~visited
357,1016. Binary String With Substrings Representing 1 To N,57.9%,Med.,~visited
358,1066. Campus Bikes II,55.3%,Med.,~visited
359,1056. Confusing Number,49.2%,Easy,~visited
360,1087. Brace Expansion,66.6%,Med.,~visited
361,1088. Confusing Number II,47.1%,Hard,~visited
362,1023. Camelcase Matching,63.4%,Med.,~visited
363,1024. Video Stitching,51.8%,Med.,~visited
364,1101. The Earliest Moment When Everyone Become Friends,65.6%,Med.,~visited
365,1025. Divisor Game,70.0%,Easy,~visited
366,1027. Longest Arithmetic Subsequence,49.4%,Med.,~visited
367,1026. Maximum Difference Between Node and Ancestor,78.0%,Med.,~visited
368,1028. Recover a Tree From Preorder Traversal,83.3%,Hard,~visited
369,1032. Stream of Characters,52.3%,Hard,~visited
370,1036. Escape a Large Maze,35.2%,Hard,~visited
371,1039. Minimum Score Triangulation of Polygon,59.9%,Med.,~visited
372,1037. Valid Boomerang,37.7%,Easy,~visited
373,1161. Maximum Level Sum of a Binary Tree,67.3%,Med.,~visited
374,1121. Divide Array Into Increasing Sequences,60.4%,Hard,~visited
375,1043. Partition Array for Maximum Sum,76.9%,Med.,~visited
376,1044. Longest Duplicate Substring,30.7%,Hard,~visited
377,1165. Single-Row Keyboard,87.7%,Easy,~visited
378,1153. String Transforms Into Another String,34.8%,Hard,~visited
379,1167. Minimum Cost to Connect Sticks,71.0%,Med.,~visited
380,1048. Longest String Chain,61.8%,Med.,~visited
381,1182. Shortest Distance to Target Color,55.4%,Med.,~visited
382,1197. Minimum Knight Moves,41.2%,Med.,~visited
383,1168. Optimize Water Distribution in a Village,65.1%,Hard,~visited
384,1074. Number of Submatrices That Sum to Target,74.4%,Hard,~visited
385,1068. Product Sales Analysis I,84.2%,Easy,~visited
386,1078. Occurrences After Bigram,63.6%,Easy,~visited
387,1081. Smallest Subsequence of Distinct Characters,61.7%,Med.,~visited
388,1079. Letter Tile Possibilities,83.5%,Med.,~visited
389,1199. Minimum Time to Build Blocks,46.1%,Hard,~visited
390,1090. Largest Values From Labels,62.9%,Med.,~visited
391,1245. Tree Diameter,61.0%,Med.,~visited
392,1095. Find in Mountain Array,40.2%,Hard,~visited
393,1117. Building H2O,57.5%,Med.,~visited
394,1096. Brace Expansion II,63.2%,Hard,~visited
395,1231. Divide Chocolate,59.7%,Hard,~visited
396,1105. Filling Bookcase Shelves,68.7%,Med.,~visited
397,1272. Remove Interval,66.6%,Med.,~visited
398,1114. Print in Order,70.8%,Easy,~visited
399,1619. Mean of Array After Removing Some Elements,70.1%,Easy,~visited
400,1286. Iterator for Combination,73.5%,Med.,~visited
401,1291. Sequential Digits,65.3%,Med.,~visited
402,1125. Smallest Sufficient Team,55.3%,Hard,~visited
403,1287. Element Appearing More Than 25% In Sorted Array,61.0%,Easy,~visited
404,1289. Minimum Falling Path Sum II,64.0%,Hard,~visited
405,1130. Minimum Cost Tree From Leaf Values,67.6%,Med.,~visited
406,1129. Shortest Path with Alternating Colors,47.2%,Med.,~visited
407,1300. Sum of Mutated Array Closest to Target,45.0%,Med.,~visited
408,1138. Alphabet Board Path,51.6%,Med.,~visited
409,1313. Decompress Run-Length Encoded List,86.0%,Easy,~visited
410,1314. Matrix Block Sum,75.8%,Med.,~visited
411,1316. Distinct Echo Substrings,51.7%,Hard,~visited
412,1144. Decrease Elements To Make Array Zigzag,48.3%,Med.,~visited
413,1145. Binary Tree Coloring Game,52.4%,Med.,~visited
414,1143. Longest Common Subsequence,58.1%,Med.,~visited
415,1147. Longest Chunked Palindrome Decomposition,58.7%,Hard,~visited
416,1302. Deepest Leaves Sum,86.3%,Med.,~visited
417,1331. Rank Transform of an Array,70.6%,Easy,~visited
418,1632. Rank Transform of a Matrix,41.3%,Hard,~visited
419,1170. Compare Strings by Frequency of the Smallest Character,62.6%,Med.,~visited
420,1360. Number of Days Between Two Dates,51.1%,Easy,~visited
421,1425. Constrained Subsequence Sum,56.4%,Hard,~visited
422,1184. Distance Between Bus Stops,54.5%,Easy,~visited
423,1187. Make Array Strictly Increasing,57.9%,Hard,~visited
424,1550. Three Consecutive Odds,68.0%,Easy,~visited
425,1483. Kth Ancestor of a Tree Node,35.4%,Hard,~visited
426,2079. Watering Plants,79.9%,Med.,~visited
427,1706. Where Will the Ball Fall,72.0%,Med.,~visited
428,1220. Count Vowels Permutation,61.5%,Hard,~visited
429,2226. Maximum Candies Allocated to K Children,50.2%,Med.,~visited
430,1206. Design Skiplist,61.8%,Hard,~visited
431,1233. Remove Sub-Folders from the Filesystem,75.7%,Med.,~visited
432,2225. Find Players With Zero or One Losses,72.7%,Med.,~visited
433,1240. Tiling a Rectangle with the Fewest Squares,54.3%,Hard,~visited
434,1726. Tuple with Same Product,70.2%,Med.,~visited
435,1249. Minimum Remove to Make Valid Parentheses,70.4%,Med.,~visited
436,1254. Number of Closed Islands,66.7%,Med.,~visited
437,1618. Maximum Font to Fit a Sentence in a Screen,61.2%,Med.,~visited
438,1261. Find Elements in a Contaminated Binary Tree,84.8%,Med.,~visited
439,2215. Find the Difference of Two Arrays,80.6%,Easy,~visited
440,2218. Maximum Value of K Coins From Piles,60.4%,Hard,~visited
441,2304. Minimum Path Cost in a Grid,67.0%,Med.,~visited
442,1266. Minimum Time Visiting All Points,82.5%,Easy,~visited
443,1267. Count Servers that Communicate,73.5%,Med.,~visited
444,1269. Number of Ways to Stay in the Same Place After Some Steps,50.1%,Hard,~visited
445,1270. All People Report to the Given Manager,84.5%,Med.,~visited
446,1283. Find the Smallest Divisor Given a Threshold,62.9%,Med.,~visited
447,1292. Maximum Side Length of a Square with Sum Less than or Equal to Threshold,53.4%,Med.,~visited
448,1320. Minimum Distance to Type a Word Using Two Fingers,59.0%,Hard,~visited
449,1342. Number of Steps to Reduce a Number to Zero,85.6%,Easy,~visited
450,1345. Jump Game IV,46.1%,Hard,~visited
451,1323. Maximum 69 Number,82.5%,Easy,~visited
452,1326. Minimum Number of Taps to Open to Water a Garden,50.7%,Hard,~visited
453,1358. Number of Substrings Containing All Three Characters,73.0%,Med.,~visited
454,1359. Count All Valid Pickup and Delivery Options,64.9%,Hard,~visited
455,1337. The K Weakest Rows in a Matrix,73.9%,Easy,~visited
456,1346. Check If N and Its Double Exist,41.1%,Easy,~visited
457,1347. Minimum Number of Steps to Make Two Strings Anagram,82.1%,Med.,~visited
458,1351. Count Negative Numbers in a Sorted Matrix,77.6%,Easy,~visited
459,1352. Product of the Last K Numbers,62.9%,Med.,~visited
460,1366. Rank Teams by Votes,59.2%,Med.,~visited
461,1367. Linked List in Binary Tree,52.0%,Med.,~visited
462,1368. Minimum Cost to Make at Least One Valid Path in a Grid,70.7%,Hard,~visited
463,1386. Cinema Seat Allocation,42.5%,Med.,~visited
464,1387. Sort Integers by The Power Value,70.6%,Med.,~visited
465,1388. Pizza With 3n Slices,52.7%,Hard,~visited
466,1401. Circle and Rectangle Overlapping,48.6%,Med.,~visited
467,1392. Longest Happy Prefix,48.3%,Hard,~visited
468,1397. Find All Good Strings,43.3%,Hard,~visited
469,1414. Find the Minimum Number of Fibonacci Numbers Whose Sum Is K,64.2%,Med.,~visited
470,1416. Restore The Array,47.0%,Hard,~visited
471,1406. Stone Game III,63.2%,Hard,~visited
472,1410. HTML Entity Parser,50.2%,Med.,~visited
473,1422. Maximum Score After Splitting a String,65.2%,Easy,~visited
474,1424. Diagonal Traverse II,57.8%,Med.,~visited
475,1447. Simplified Fractions,68.0%,Med.,~visited
476,1449. Form Largest Integer With Digits That Add up to Target,48.5%,Hard,~visited
477,1436. Destination City,79.4%,Easy,~visited
478,1438. Longest Continuous Subarray With Absolute Diff Less Than or Equal to Limit,56.6%,Med.,~visited
479,1441. Build an Array With Stack Operations,80.1%,Med.,~visited
480,1444. Number of Ways of Cutting a Pizza,61.7%,Hard,~visited
