Index,Problem,Percentage,Difficulty,Status
1799,1415. The k-th Lexicographical String of All Happy Strings of Length n,85.1%,Med.,~visited
1800,3186. Maximum Total Damage With Spell Casting,27.4%,Med.,~visited
1801,965. Univalued Binary Tree,71.9%,Easy,~visited
1802,1217. Minimum Cost to Move Chips to The Same Position,72.1%,Easy,~visited
1803,2375. Construct Smallest Number From DI String,85.9%,Med.,~visited
1804,2880. Select Data,79.3%,Easy,~visited
1805,1221. Split a String in Balanced Strings,86.7%,Easy,~visited
1806,2306. Naming a Company,46.3%,Hard,~visited
1807,1748. Sum of Unique Elements,78.9%,Easy,~visited
1808,2974. Minimum Number Game,84.7%,Easy,~visited
1809,3459. Length of Longest V-Shaped Diagonal Segment,39.8%,Hard,~visited
1810,3454. Separate Squares II,19.3%,Hard,~visited
1811,1603. Design Parking System,88.0%,Easy,~visited
1812,1574. Shortest Subarray to be Removed to Make Array Sorted,51.5%,Med.,~visited
1813,2596. Check Knight Tour Configuration,57.2%,Med.,~visited
1814,2879. Display the First Three Rows,93.1%,Easy,~visited
1815,1172. Dinner Plate Stacks,32.7%,Hard,~visited
1816,1524. Number of Sub-arrays With Odd Sum,56.1%,Med.,~visited
1817,696. Count Binary Substrings,65.8%,Easy,~visited
1818,461. Hamming Distance,75.9%,Easy,~visited
1819,2078. Two Furthest Houses With Different Colors,65.5%,Easy,~visited
1820,1341. Movie Rating,41.3%,Med.,~visited
1821,1749. Maximum Absolute Sum of Any Subarray,71.5%,Med.,~visited
1822,2615. Sum of Distances,31.0%,Med.,~visited
1823,1856. Maximum Subarray Min-Product,38.7%,Med.,~visited
1824,873. Length of Longest Fibonacci Subsequence,57.6%,Med.,~visited
1825,339. Nested List Weight Sum,85.3%,Med.,~visited
1826,631. Design Excel Sum Formula,43.9%,Hard,~visited
1827,2492. Minimum Score of a Path Between Two Cities,57.7%,Med.,~visited
1828,594. Longest Harmonious Subsequence,56.7%,Easy,~visited
1829,2894. Divisible and Non-divisible Sums Difference,88.3%,Easy,~visited
1830,2460. Apply Operations to an Array,74.9%,Easy,~visited
1831,1941. Check if All Characters Have Equal Number of Occurrences,78.4%,Easy,~visited
1832,1780. Check if Number is a Sum of Powers of Three,79.3%,Med.,~visited
1833,3158. Find the XOR of Numbers Which Appear Twice,79.5%,Easy,~visited
1834,711. Number of Distinct Islands II,54.4%,Hard,~visited
1835,2579. Count Total Number of Colored Cells,66.2%,Med.,~visited
1836,3285. Find Indices of Stable Mountains,85.8%,Easy,~visited
1837,2888. Reshape Data: Concatenate,90.7%,Easy,~visited
1838,3472. Longest Palindromic Subsequence After at Most K Operations,35.7%,Med.,~visited
1839,2523. Closest Prime Numbers in Range,51.5%,Med.,~visited
1840,2335. Minimum Amount of Time to Fill Cups,58.6%,Easy,~visited
1841,2379. Minimum Recolors to Get K Consecutive Black Blocks,68.5%,Easy,~visited
1842,3468. Find the Number of Copy Arrays,45.4%,Med.,~visited
1843,1911. Maximum Alternating Subsequence Sum,58.7%,Med.,~visited
1844,736. Parse Lisp Expression,52.4%,Hard,~visited
1845,2262. Total Appeal of A String,55.8%,Hard,~visited
1846,381. Insert Delete GetRandom O(1) - Duplicates allowed,35.8%,Hard,~visited
1847,2771. Longest Non-decreasing Subarray From Two Arrays,29.6%,Med.,~visited
1848,2529. Maximum Count of Positive Integer and Negative Integer,74.5%,Easy,~visited
1849,1541. Minimum Insertions to Balance a Parentheses String,53.0%,Med.,~visited
1850,1335. Minimum Difficulty of a Job Schedule,59.6%,Hard,~visited
1851,2559. Count Vowel Strings in Ranges,67.9%,Med.,~visited
1852,2043. Simple Bank System,63.4%,Med.,~visited
1853,2477. Minimum Fuel Cost to Report to the Capital,64.2%,Med.,~visited
1854,2594. Minimum Time to Repair Cars,60.0%,Med.,~visited
1855,3481. Apply Substitutions,78.3%,Med.,~visited
1856,3271. Hash Divided String,82.9%,Med.,~visited
1857,2206. Divide Array Into Equal Pairs,79.2%,Easy,~visited
1858,1282. Group the People Given the Group Size They Belong To,87.3%,Med.,~visited
1859,3191. Minimum Operations to Make Binary Array Elements Equal to One I,80.5%,Med.,~visited
1860,2648. Generate Fibonacci Sequence,83.6%,Easy,~visited
1861,3398. Smallest Substring With Identical Characters I,18.8%,Hard,~visited
1862,3108. Minimum Cost Walk in Weighted Graph,68.6%,Hard,~visited
1863,2685. Count the Number of Complete Components,77.7%,Med.,~visited
1864,2389. Longest Subsequence With Limited Sum,72.6%,Easy,~visited
1865,1669. Merge In Between Linked Lists,82.2%,Med.,~visited
1866,2119. A Number After a Double Reversal,80.9%,Easy,~visited
1867,1668. Maximum Repeating Substring,39.3%,Easy,~visited
1868,3494. Find the Minimum Amount of Time to Brew Potions,32.2%,Med.,~visited
1869,2578. Split With Minimum Sum,71.7%,Easy,~visited
1870,761. Special Binary String,63.0%,Hard,~visited
1871,2033. Minimum Operations to Make a Uni-Value Grid,67.5%,Med.,~visited
1872,1227. Airplane Seat Assignment Probability,66.6%,Med.,~visited
1873,3185. Count Pairs That Form a Complete Day II,42.8%,Med.,~visited
1874,2731. Movement of Robots,26.8%,Med.,~visited
1875,1407. Top Travellers,57.2%,Easy,~visited
1876,1873. Calculate Special Bonus,57.4%,Easy,~visited
1877,2780. Minimum Index of a Valid Split,75.9%,Med.,~visited
1878,749. Contain Virus,52.3%,Hard,~visited
1879,3303. Find the Occurrence of First Almost Equal Substring,13.4%,Hard,~visited
1880,2503. Maximum Number of Points From Grid Queries,59.7%,Hard,~visited
1881,1710. Maximum Units on a Truck,74.1%,Easy,~visited
1882,3149. Find the Minimum Cost Array Permutation,22.5%,Hard,~visited
1883,967. Numbers With Same Consecutive Differences,58.6%,Med.,~visited
1884,3304. Find the K-th Character in String Game I,72.6%,Easy,~visited
1885,2818. Apply Operations to Maximize Score,54.7%,Hard,~visited
1886,2575. Find the Divisibility Array of a String,34.2%,Med.,~visited
1887,3240. Minimum Number of Flips to Make Binary Grid Palindromic II,23.7%,Med.,~visited
1888,2513. Minimize the Maximum of Two Arrays,31.1%,Med.,~visited
1889,2572. Count the Number of Square-Free Subsets,24.6%,Med.,~visited
1890,2481. Minimum Cuts to Divide a Circle,54.9%,Easy,~visited
1891,2069. Walking Robot Simulation II,26.7%,Med.,~visited
1892,1952. Three Divisors,62.3%,Easy,~visited
1893,2140. Solving Questions With Brainpower,60.4%,Med.,~visited
1894,882. Reachable Nodes In Subdivided Graph,50.7%,Hard,~visited
1895,2551. Put Marbles in Bags,72.7%,Hard,~visited
1896,2873. Maximum Value of an Ordered Triplet I,58.3%,Easy,~visited
1897,195. Tenth Line,34.3%,Easy,~visited
1898,2573. Find the String with LCP,31.4%,Hard,~visited
1899,3489. Zero Array Transformation IV,28.8%,Med.,~visited
